時間,儲能(Energy Storage System),其它再生能源(Other Renewable Energy),太陽能(Solar),核能(Nuclear),民營電廠-燃氣(IPP-LNG),民營電廠-燃煤(IPP-Coal),水力(Hydro),汽電共生(Co-Gen),燃氣(LNG),燃油(Oil),燃煤(Coal),輕油(Diesel),風力(Wind),碳排放量(TCO2),每度電碳排(kgCO₂/kWh),總發電量(MW),碳排放量(TCO₂),再生能源佔比(%),化石燃料佔比(%),低碳能源佔比(%),儲能(Energy Storage System)(%),其它再生能源(Other Renewable Energy)(%),太陽能(Solar)(%),民營電廠-燃氣(IPP-LNG)(%),民營電廠-燃煤(IPP-Coal)(%),水力(Hydro)(%),汽電共生(Co-Gen)(%),燃氣(LNG)(%),燃油(Oil)(%),燃煤(Coal)(%),輕油(Diesel)(%),風力(Wind)(%)
2025/5/20 13:23,15.1 (0.04%),40.8 (0.12%),7683.4 (22.38%),0.0 (0.0%),4583.0 (13.35%),1263.7 (3.68%),375.5 (1.09%),1703.6 (4.96%),10108.0 (29.45%),436.9 (1.27%),7541.8 (21.97%),38.3 (0.11%),534.4 (1.56%),"16,674.69",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 13:24,15.1 (0.04%),40.8 (0.12%),7683.4 (22.38%),0.0 (0.0%),4583.0 (13.35%),1263.7 (3.68%),375.5 (1.09%),1703.6 (4.96%),10108.0 (29.45%),436.9 (1.27%),7541.8 (21.97%),38.3 (0.11%),534.4 (1.56%),"16,674.69",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 14:05,14.6 (0.04%),37.7 (0.11%),7319.6 (21.44%),0.0 (0.0%),4440.6 (13.01%),1428.4 (4.18%),376.7 (1.1%),1721.7 (5.04%),9987.8 (29.26%),537.3 (1.57%),7707.1 (22.58%),38.4 (0.11%),527.1 (1.54%),"16,931.65",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 15:05,317.1 (0.95%),42.8 (0.13%),6080.0 (18.31%),0.0 (0.0%),4484.5 (13.5%),1497.8 (4.51%),365.1 (1.1%),1734.1 (5.22%),10015.5 (30.16%),537.9 (1.62%),7636.9 (23.0%),38.1 (0.11%),460.5 (1.39%),"16,974.40",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 16:05,506.3 (1.54%),40.8 (0.12%),4584.9 (13.96%),0.0 (0.0%),4644.7 (14.14%),1584.4 (4.82%),676.0 (2.06%),1756.0 (5.35%),10439.3 (31.79%),600.4 (1.83%),7720.9 (23.51%),38.4 (0.12%),246.7 (0.75%),"17,483.33",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 17:05,1180.9 (3.64%),37.0 (0.11%),2446.7 (7.55%),0.0 (0.0%),4838.3 (14.93%),1672.2 (5.16%),916.0 (2.83%),1672.7 (5.16%),10986.1 (33.89%),853.0 (2.63%),7608.0 (23.47%),38.6 (0.12%),165.7 (0.51%),"17,983.21",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 18:05,1074.9 (3.52%),40.0 (0.13%),534.5 (1.75%),0.0 (0.0%),4801.9 (15.7%),1662.0 (5.44%),1323.7 (4.33%),1804.5 (5.9%),10637.4 (34.79%),903.6 (2.95%),7623.1 (24.93%),38.9 (0.13%),134.2 (0.44%),"17,914.89",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 19:05,1376.1 (4.49%),39.9 (0.13%),0.3 (0.0%),0.0 (0.0%),4887.2 (15.93%),1674.1 (5.46%),1317.9 (4.3%),1773.0 (5.78%),11017.3 (35.92%),911.6 (2.97%),7570.3 (24.68%),39.2 (0.13%),63.3 (0.21%),"18,098.61",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 20:05,1245.7 (4.08%),45.2 (0.15%),0.0 (0.0%),0.0 (0.0%),4841.2 (15.87%),1679.4 (5.5%),1408.0 (4.61%),1782.9 (5.84%),11008.2 (36.08%),910.2 (2.98%),7517.3 (24.64%),39.6 (0.13%),35.1 (0.12%),"18,033.29",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 21:05,1198.3 (4.0%),36.7 (0.12%),0.0 (0.0%),0.0 (0.0%),4551.2 (15.19%),1683.3 (5.62%),1368.7 (4.57%),1681.4 (5.61%),10998.7 (36.7%),784.5 (2.62%),7591.0 (25.33%),39.4 (0.13%),34.7 (0.12%),"17,791.75",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 22:05,888.8 (2.97%),39.3 (0.13%),0.0 (0.0%),0.0 (0.0%),4827.0 (16.12%),1674.5 (5.59%),1248.5 (4.17%),1781.5 (5.95%),11010.4 (36.76%),753.2 (2.51%),7648.3 (25.53%),39.0 (0.13%),42.1 (0.14%),"18,013.83",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 22:35,646.5 (2.18%),37.9 (0.13%),0.0 (0.0%),0.0 (0.0%),4838.1 (16.3%),1682.5 (5.67%),1162.0 (3.92%),1792.3 (6.04%),11004.4 (37.08%),746.4 (2.52%),7667.3 (25.84%),38.6 (0.13%),61.1 (0.21%),"18,041.38",,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/20 23:05,673.1 (2.31%),40.2 (0.14%),0.0 (0.0%),0.0 (0.0%),4732.6 (16.23%),1673.1 (5.74%),963.9 (3.31%),1726.3 (5.92%),10866.8 (37.27%),673.2 (2.31%),7683.7 (26.36%),38.2 (0.13%),82.4 (0.28%),17827.63,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 01:05,180.3 (0.67%),33.3 (0.12%),0.0 (0.0%),0.0 (0.0%),4651.2 (17.35%),1676.3 (6.25%),636.9 (2.38%),1328.7 (4.96%),10398.0 (38.78%),340.5 (1.27%),7384.7 (27.54%),36.4 (0.14%),143.6 (0.54%),16780.06,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 02:05,0.0 (0.0%),35.8 (0.14%),0.0 (0.0%),0.0 (0.0%),4655.9 (17.64%),1589.3 (6.02%),557.7 (2.11%),1214.1 (4.6%),10450.3 (39.59%),335.2 (1.27%),7336.9 (27.8%),36.1 (0.14%),182.3 (0.69%),16613.98,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 03:05,0.0 (0.0%),33.3 (0.13%),0.0 (0.0%),0.0 (0.0%),4617.4 (18.0%),1545.9 (6.03%),565.8 (2.21%),1187.0 (4.63%),10188.3 (39.72%),329.2 (1.28%),6933.2 (27.03%),36.0 (0.14%),215.2 (0.84%),16040.2,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 04:05,0.0 (0.0%),38.8 (0.15%),0.0 (0.0%),0.0 (0.0%),4492.7 (17.57%),1575.3 (6.16%),565.8 (2.21%),1180.7 (4.62%),10159.2 (39.74%),334.3 (1.31%),6879.3 (26.91%),35.8 (0.14%),302.5 (1.18%),15941.38,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 05:05,0.0 (0.0%),38.0 (0.15%),0.0 (0.0%),0.0 (0.0%),4593.4 (18.07%),1570.4 (6.18%),565.2 (2.22%),1183.7 (4.66%),9883.5 (38.87%),329.8 (1.3%),6868.9 (27.01%),35.8 (0.14%),357.6 (1.41%),15838.31,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 06:05,0.0 (0.0%),36.1 (0.14%),150.8 (0.6%),0.0 (0.0%),4161.2 (16.47%),1574.0 (6.23%),559.5 (2.21%),1211.8 (4.8%),9934.2 (39.31%),331.5 (1.31%),6832.8 (27.04%),36.0 (0.14%),440.8 (1.74%),15636.7,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 07:05,0.0 (0.0%),35.6 (0.14%),1275.2 (4.89%),0.0 (0.0%),4156.5 (15.94%),1563.8 (6.0%),520.8 (2.0%),1238.3 (4.75%),9920.2 (38.04%),330.4 (1.27%),6598.6 (25.3%),36.3 (0.14%),404.6 (1.55%),15422.67,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 08:05,0.0 (0.0%),39.3 (0.14%),3362.3 (12.09%),0.0 (0.0%),3805.3 (13.68%),1565.7 (5.63%),518.0 (1.86%),1382.6 (4.97%),9873.9 (35.51%),329.7 (1.19%),6439.4 (23.16%),37.1 (0.13%),453.4 (1.63%),15169.05,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 09:05,724.7 (2.3%),35.6 (0.11%),4556.4 (14.48%),0.0 (0.0%),4356.1 (13.84%),1566.6 (4.98%),518.9 (1.65%),1630.4 (5.18%),10620.7 (33.74%),333.9 (1.06%),6616.2 (21.02%),38.1 (0.12%),478.5 (1.52%),16130.67,,,,0.0,0.0,0.0,,,,,,,,,,,,
